room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island
1,149,1,9,0.21,6,365,False,True,False,False,False
2,225,1,45,0.38,2,355,False,False,True,False,False
1,150,3,0,0.0,1,365,False,False,True,False,False
2,89,1,270,4.64,1,194,False,True,False,False,False
2,80,10,9,0.1,1,0,False,False,True,False,False
2,200,3,74,0.59,1,129,False,False,True,False,False
1,79,2,430,3.47,1,220,False,False,True,False,False
1,79,2,118,0.99,1,0,False,False,True,False,False
2,150,1,160,1.33,4,188,False,False,True,False,False
2,135,5,53,0.43,1,6,False,False,True,False,False
1,85,2,188,1.5,1,39,False,False,True,False,False
1,89,4,167,1.34,3,314,False,True,False,False,False
1,85,2,113,0.91,1,333,False,False,True,False,False
2,140,2,148,1.2,1,46,False,True,False,False,False
2,215,2,198,1.72,1,321,False,True,False,False,False
1,140,1,260,2.12,1,12,False,False,True,False,False
2,99,3,53,4.44,1,21,False,True,False,False,False
2,190,7,0,0.0,2,249,False,False,True,False,False
2,299,3,9,0.07,1,0,False,True,False,False,False
1,130,2,130,1.09,6,347,False,True,False,False,False
1,80,1,39,0.37,6,364,False,True,False,False,False
1,110,2,71,0.61,6,304,False,True,False,False,False
2,120,2,88,0.73,2,233,False,True,False,False,False
1,60,1,19,1.37,2,85,False,True,False,False,False
1,80,4,0,0.0,1,0,False,False,True,False,False
2,150,10,58,0.49,1,75,False,False,True,False,False
1,44,3,108,1.11,3,311,False,False,True,False,False
1,50,3,242,2.04,3,355,False,False,True,False,False
1,52,2,88,1.42,1,255,False,False,True,False,False
1,55,4,197,1.65,3,284,False,True,False,False,False
1,50,3,273,2.37,3,359,False,False,True,False,False
1,70,1,74,0.66,2,269,False,True,False,False,False
1,89,4,168,1.41,3,340,False,True,False,False,False
2,85,2,231,1.96,2,22,False,True,False,False,False
1,150,1,0,0.0,1,365,False,True,False,False,False
0,40,1,214,1.81,4,188,False,False,True,False,False
1,68,2,245,2.08,2,96,False,False,True,False,False
2,120,3,15,0.39,1,345,False,True,False,False,False
1,120,7,25,0.23,1,311,False,True,False,False,False
1,135,4,81,0.69,1,273,False,False,True,False,False
2,150,7,97,0.84,1,309,False,False,True,False,False
1,130,3,248,2.25,1,215,False,False,False,True,False
2,110,7,61,0.52,1,265,False,True,False,False,False
2,115,3,11,0.1,1,0,False,True,False,False,False
1,80,3,135,1.16,2,192,False,True,False,False,False
1,80,1,112,1.01,3,251,False,True,False,False,False
